0.75923417	0.75934303	0.75932570	0.75933554	0.75933290	0.75933073	0.75932689	0.75932263	0.75931799	0.75931314	0.75930813	0.75930299	0.75929776	0.75929246	0.75928709	0.75928168	0.75927624	0.75927078	0.75926534	0.75925991	0.75925453	0.75924920	0.75924395	0.75923880	0.75923376	0.75922884	0.75922408	0.75921947	0.75921503	0.75921077	0.75920671	0.75920286	0.75919921	0.75919578	0.75919256	0.75918957	0.75918680	0.75918424	0.75918191	0.75917979	0.75917788	0.75917618	0.75917465	0.75917339	0.75917204	0.75917190	0.75916810	0.75917889	0.75913824	0.75932045	0.75909838	0.76024467	0.76017118	0.76010700	0.76007709	0.76006401	0.76006150	0.76007483	0.76009835	0.76016006	0.76020735	0.76040869	0.76081056	0.76205984	0.76164687	0.76176975	0.76171813	0.76172012	0.76169181	0.76178087	0.76151649	0.76278785	0.75948773	0.75959655
0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.74887607	0.73578148	0.72318456	0.71106621	0.69940869	0.68819544	0.67741105	0.66704107	0.65707202	0.64749126	0.63828694	0.62944796	0.62096392	0.61282504	0.60502218	0.59754677	0.59039081	0.58354682	0.57700782	0.57076734	0.56481938	0.55915843	0.55377932	0.54867774	0.54384829	0.53929174	0.53498787	0.53099660	0.52708181	0.52411076	0.51884832	0.52335692	0.49302414	0.59724624	0.56259063	0.45586397	0.49706219	0.50532754	0.52896854	0.55504397	0.58809226	0.62963762	0.67773702	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75077813	0.75214764	0.75344948	0.75533872	0.75565601	0.76370863	0.75000000	0.75000000
0.75019533	0.75046564	0.75069712	0.75094660	0.75115065	0.75131631	0.75144343	0.75153854	0.75160704	0.75165405	0.75168380	0.75169981	0.75170492	0.75170143	0.75169120	0.75167569	0.75165606	0.75163322	0.75160790	0.75158068	0.75155195	0.75152198	0.75149094	0.75145893	0.75142603	0.74636051	0.73528469	0.72493050	0.71526506	0.70625789	0.69788061	0.69010667	0.68290945	0.67625729	0.67012398	0.66448478	0.65931559	0.65459273	0.65022554	0.64593197	0.64167028	0.63742027	0.63317017	0.62886419	0.62459591	0.62006119	0.61682832	0.60856137	0.61856607	0.56055285	0.75000000	0.75000000	0.75427930	0.75423027	0.75534405	0.75895242	0.76696596	0.78072407	0.80115919	0.83105274	0.85513255	0.94878170	0.74627887	0.37580291	0.35939959	0.28663813	0.24674454	0.20780605	0.18320204	0.16043121	0.16023775	0.09907323	0.30702510	0.75040970
0.72244727	0.72245427	0.72246063	0.72246637	0.72247147	0.72247605	0.72247982	0.72248387	0.72248429	0.72249571	0.72246332	0.72258529	0.72203865	0.72270486	0.71926599	0.71948647	0.71967901	0.71976874	0.71980796	0.71981551	0.71977550	0.71970496	0.71951981	0.71937795	0.71877392	0.71756832	0.71382049	0.71505940	0.71469075	0.71484561	0.71483963	0.71492457	0.71465739	0.71545053	0.71163646	0.72153681	0.72121034	0.72229750	0.72197091	0.72202290	0.72199337	0.72200131	0.72200781	0.72201934	0.72203210	0.72204602	0.72206058	0.72207562	0.72209102	0.72210671	0.72212263	0.72213873	0.72215496	0.72217129	0.72218765	0.72220399	0.72222027	0.72223642	0.72225240	0.72226815	0.72228361	0.72229873	0.72231347	0.72232777	0.72234160	0.72235491	0.72236768	0.72237986	0.72239143	0.72240237	0.72241267	0.72242231	0.72243129	0.72243961
0.56481938	0.55915843	0.55377932	0.54867774	0.54384829	0.53929174	0.53498787	0.53099660	0.52708181	0.52411076	0.51884832	0.52335692	0.49302414	0.59724624	0.56259063	0.45586397	0.49706219	0.50532754	0.52896854	0.55504397	0.58809226	0.62963762	0.67773702	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75077813	0.75214764	0.75344948	0.75533872	0.75565601	0.76370863	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.74887607	0.73578148	0.72318456	0.71106621	0.69940869	0.68819544	0.67741105	0.66704107	0.65707202	0.64749126	0.63828694	0.62944796	0.62096392	0.61282504	0.60502218	0.59754677	0.59039081	0.58354682	0.57700782	0.57076734
0.65459273	0.65022554	0.64593197	0.64167028	0.63742027	0.63317017	0.62886419	0.62459591	0.62006119	0.61682832	0.60856137	0.61856607	0.56055285	0.75000000	0.75000000	0.75427930	0.75423027	0.75534405	0.75895242	0.76696596	0.78072407	0.80115919	0.83105274	0.85513255	0.94878170	0.74627887	0.37580291	0.35939959	0.28663813	0.24674454	0.20780605	0.18320204	0.16043121	0.16023775	0.09907323	0.30702510	0.75040970	0.75019533	0.75046564	0.75069712	0.75094660	0.75115065	0.75131631	0.75144343	0.75153854	0.75160704	0.75165405	0.75168380	0.75169981	0.75170492	0.75170143	0.75169120	0.75167569	0.75165606	0.75163322	0.75160790	0.75158068	0.75155195	0.75152198	0.75149094	0.75145893	0.75142603	0.74636051	0.73528469	0.72493050	0.71526506	0.70625789	0.69788061	0.69010667	0.68290945	0.67625729	0.67012398	0.66448478	0.65931559
0.75918424	0.75918191	0.75917979	0.75917788	0.75917618	0.75917465	0.75917339	0.75917204	0.75917190	0.75916810	0.75917889	0.75913824	0.75932045	0.75909838	0.76024467	0.76017118	0.76010700	0.76007709	0.76006401	0.76006150	0.76007483	0.76009835	0.76016006	0.76020735	0.76040869	0.76081056	0.76205984	0.76164687	0.76176975	0.76171813	0.76172012	0.76169181	0.76178087	0.76151649	0.76278785	0.75948773	0.75959655	0.75923417	0.75934303	0.75932570	0.75933554	0.75933290	0.75933073	0.75932689	0.75932263	0.75931799	0.75931314	0.75930813	0.75930299	0.75929776	0.75929246	0.75928709	0.75928168	0.75927624	0.75927078	0.75926534	0.75925991	0.75925453	0.75924920	0.75924395	0.75923880	0.75923376	0.75922884	0.75922408	0.75921947	0.75921503	0.75921077	0.75920671	0.75920286	0.75919921	0.75919578	0.75919256	0.75918957	0.75918680
0.56481938	0.55915843	0.55377932	0.54867774	0.54384829	0.53929174	0.53498787	0.53099660	0.52708181	0.52411076	0.51884832	0.52335692	0.49302414	0.59724624	0.56259063	0.45586397	0.49706219	0.50532754	0.52896854	0.55504397	0.58809226	0.62963762	0.67773702	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75077813	0.75214764	0.75344948	0.75533872	0.75565601	0.76370863	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.75000000	0.74887607	0.73578148	0.72318456	0.71106621	0.69940869	0.68819544	0.67741105	0.66704107	0.65707202	0.64749126	0.63828694	0.62944796	0.62096392	0.61282504	0.60502218	0.59754677	0.59039081	0.58354682	0.57700782	0.57076734
0.65459273	0.65022554	0.64593197	0.64167028	0.63742027	0.63317017	0.62886419	0.62459591	0.62006119	0.61682832	0.60856137	0.61856607	0.56055285	0.75000000	0.75000000	0.75427930	0.75423027	0.75534405	0.75895242	0.76696596	0.78072407	0.80115919	0.83105274	0.85513255	0.94878170	0.74627887	0.37580291	0.35939959	0.28663813	0.24674454	0.20780605	0.18320204	0.16043121	0.16023775	0.09907323	0.30702510	0.75040970	0.75019533	0.75046564	0.75069712	0.75094660	0.75115065	0.75131631	0.75144343	0.75153854	0.75160704	0.75165405	0.75168380	0.75169981	0.75170492	0.75170143	0.75169120	0.75167569	0.75165606	0.75163322	0.75160790	0.75158068	0.75155195	0.75152198	0.75149094	0.75145893	0.75142603	0.74636051	0.73528469	0.72493050	0.71526506	0.70625789	0.69788061	0.69010667	0.68290945	0.67625729	0.67012398	0.66448478	0.65931559
0.72229750	0.72197091	0.72202290	0.72199337	0.72200131	0.72200781	0.72201934	0.72203210	0.72204602	0.72206058	0.72207562	0.72209102	0.72210671	0.72212263	0.72213873	0.72215496	0.72217129	0.72218765	0.72220399	0.72222027	0.72223642	0.72225240	0.72226815	0.72228361	0.72229873	0.72231347	0.72232777	0.72234160	0.72235491	0.72236768	0.72237986	0.72239143	0.72240237	0.72241267	0.72242231	0.72243129	0.72243961	0.72244727	0.72245427	0.72246063	0.72246637	0.72247147	0.72247605	0.72247982	0.72248387	0.72248429	0.72249571	0.72246332	0.72258529	0.72203865	0.72270486	0.71926599	0.71948647	0.71967901	0.71976874	0.71980796	0.71981551	0.71977550	0.71970496	0.71951981	0.71937795	0.71877392	0.71756832	0.71382049	0.71505940	0.71469075	0.71484561	0.71483963	0.71492457	0.71465739	0.71545053	0.71163646	0.72153681	0.72121034
