0.118059,1.000000,-1.000000,-0.118654,1.000000,-1.000000,0.094856,1.000000,-1.000000,-0.095517,1.000000,-1.000000,0.081146,0.081111,0.117298,0.117267
-0.085453,0.003464,0.020853,0.086733,0.003785,0.020363,-0.120320,0.808530,0.296115,0.121770,0.808530,0.295877,-0.050398,-0.050342,-0.164313,-0.164273
-0.002017,-0.610974,-0.166206,0.491249,-0.005380,-0.607647,0.587968,-0.252650,-0.351666,-0.312736,-0.452477,0.479103,0.033854,0.051285,0.052757,0.004164
-0.380208,-0.536234,-0.439278,0.351416,-0.226654,-0.099129,0.578587,-0.661396,-0.601935,-0.673226,-0.700737,0.421649,0.030039,-0.035267,0.096873,0.055316
0.091844,0.123697,-0.378126,0.680841,0.376665,-0.105300,0.725565,-0.741868,-0.357536,-0.740348,-0.749613,-0.195350,-0.026328,-0.043386,0.066635,0.075227
-0.564065,0.636009,-0.290053,-0.213209,0.503706,0.479717,0.098057,-0.757711,-0.258190,-0.757411,-0.759235,-0.055475,-0.068000,-0.082613,0.047400,0.008554
0.483987,0.736870,0.302276,0.466816,0.710823,0.466726,0.630961,-0.760830,0.260065,-0.095360,0.459216,-0.622577,-0.121749,-0.025874,-0.027782,0.075951
-0.516371,0.756727,-0.552145,-0.519752,0.542478,-0.044661,-0.487436,-0.761444,0.246116,-0.630430,0.702064,-0.298174,-0.376517,-0.108541,-0.032878,-0.031460
0.509996,0.627158,0.404479,0.509330,0.147809,-0.190294,0.515692,0.461747,-0.161564,0.487540,0.749874,-0.394002,-0.299668,0.043625,-0.085224,-0.050017
-0.454535,0.361291,0.471750,-0.511382,-0.582556,0.455280,-0.510129,0.664445,0.223894,-0.213013,0.759287,0.534087,-0.144565,0.035238,-0.065505,-0.515562
0.522169,-0.380060,0.704531,0.009801,-0.726346,0.494689,-0.232069,0.742468,0.655735,0.569719,0.761140,0.602873,-0.036547,0.155750,-0.166049,-0.361710
0.025696,-0.578611,0.750360,-0.609726,-0.754655,0.709047,-0.657344,0.757829,0.437750,0.325517,0.761505,0.730346,0.053647,0.198243,-0.186289,-0.337485
0.616715,-0.725570,0.759382,-0.116604,-0.760228,0.054647,-0.590202,0.760853,0.697837,0.675742,0.761577,0.755442,0.100479,0.202025,-0.214470,-0.139947
0.275478,-0.754502,0.736641,-0.634612,-0.761325,-0.116554,-0.727851,0.761448,0.712656,0.447228,0.308433,0.760383,0.097856,0.081058,-0.161120,-0.082854
0.665890,-0.760198,0.524664,-0.172261,-0.761541,-0.542226,-0.754951,0.653582,0.751960,0.699704,-0.347379,0.761356,0.082662,0.078199,-0.153605,0.007444
0.308541,-0.560128,0.327787,-0.552567,-0.761584,-0.656558,-0.760286,0.704147,0.565254,0.373998,-0.413884,0.284808,0.100409,0.034885,-0.060438,0.053440
0.611582,-0.605666,0.401632,-0.030077,-0.610988,-0.740915,-0.707006,0.154581,0.722847,0.685286,-0.693139,0.527938,0.057027,0.017628,-0.057237,0.020806
0.131787,-0.236897,0.188735,-0.236896,0.353248,-0.647120,-0.750847,0.260320,0.037930,0.097802,-0.732489,-0.188101,0.073815,-0.070618,0.039307,0.058976
0.470997,-0.444576,0.315094,0.501480,0.681201,-0.330269,-0.403910,-0.518699,0.543344,0.521133,-0.755864,0.037800,0.071858,-0.096929,-0.013210,0.008752
-0.346702,-0.094580,-0.161737,-0.084553,0.745767,0.194352,-0.662176,0.110577,-0.504685,-0.275549,-0.760466,-0.251024,0.079983,-0.110655,0.108929,0.034117
0.311855,-0.243480,-0.043842,0.595009,0.745032,0.425689,0.265196,-0.589886,0.512296,0.387068,-0.761372,-0.262454,0.072969,-0.047841,-0.063756,0.019624
